BOOK_ID	FILENAME	LIBRARIES	TITLE	AUTH_LAST	AUTH_FIRST	AUTH_ID	WRITTEN_AS	PUBL_CITY	PUBLISHER	PUBL_DATE	SOURCE	NATIONALITY	GENRE	CLEAN?	GENRE_2	BESTSELLER?	paperId	year
21600	00021600.txt	289.0	Tin woodman	Bischoff	David	A_00289		Garden City/N.Y.	"""Doubleday, Page & Co."""	1979	k	American		c			21600	1979
21706	00021706.txt	461.0	Double negative	Carkeet	David	A_00554		New York	Dial Press	1980	k	American		c			21706	1980
21209	00021209.txt	218.0	Bargain with death	Philips	Judson	A_02728	1.0	New York	"""Dodd, Mead"""	1974	k	American		c			21209	1974
20995	00020995.txt	330.0	Ourselves	Strong	Jonathan	A_03299		Boston	"""Little, Brown"""	1971	k	American		c			20995	1971
10740	00010740.txt	47.0	The book of the dead	Daly	Elizabeth	A_00838		New York/Toronto	"""Farrar & Rinehart, Inc."""	1944	k	American					10740	1944
1724	00001724.txt	58.0	A mountain Europa	Fox	John	A_01235		New York	Harper & Bros.	1899	g	American					1724	1899
uc1.b4102275	uc1.b4102275.txt		Samantha in Europe	Holley	['Marietta']					1895	hathi_fulltext						uc1.b4102275	1895
23540	00023540.txt	771.0	We speak no treason	Jarman	Rosemary Hawley	A_01790		Boston	"""Little, Brown"""	1971	k	British		c			23540	1971
mdp.39015004860105	mdp.39015004860105.txt		With fire and sword. An historical novel of Poland and Russia	Sienkiewicz	['Henryk']					1892	hathi_fulltext						mdp.39015004860105	1892
21927	00021927.txt	232.0	Nothing to lose	Baehr	Consuelo Saah	A_00122		New York	Putnam	1982	k	American		c			21927	1982
11202	00011202.txt	40.0	The three taps	Knox	Ronald Arbuthnott	A_01943		London	Methuen	1927	k	British					11202	1927
4643	00004643.txt	281.0	The ladies!	Beck	Lily Adams	A_00223		Boston	Atlantic monthly Press	1922	g	Canadian					4643	1922
21668	00021668.txt	2296.0	The ghost writer	Roth	Philip	A_02981		New York	"""Farrar, Straus & Giroux"""	1979	k	American		c			21668	1979
24352	00024352.txt	930.0	The silver gryphon	Lackey	Mercedes	A_01975		New York	DAW Books : Distributed by Penguin USA	1996	k	American		c			24352	1996
uc1.$b63683	uc1.$b63683.txt		Stairway of the sun	Ritchie	['Robert', 'Welles']					1924	extracted_features						uc1.$b63683	1924
23505	00023505.txt	1913.0	The last Plantagenets	Costain	Thomas B.	A_00758		Garden City/N.Y.	"""Doubleday, Page & Co."""	1962	k	American		c			23505	1962
uc1.b4063061	uc1.b4063061.txt		The miracle of Saint Anthony, tr. by A. Teixeira de Mattos	Maeterlinck	['Maurice']					1915	hathi_fulltext						uc1.b4063061	1915
11281	00011281.txt	53.0	Mystery Mile	Allingham	Margery	A_00055		Garden City/N.Y.	George H. Doran Co.	1930	k	British					11281	1930
24947	00024947.txt	577.0	The fall of the year	Mosher	Howard Frank	A_02492		Boston	Houghton Mifflin Co.	1999	k	American		c			24947	1999
22497	00022497.txt	796.0	The sportswriter	Ford	Richard	A_01219		New York	Vintage Books	1986	k	American		c			22497	1986
njp.32101018263028	njp.32101018263028.txt		Barker's luck, and other stories	Harte	['Bret']					1896	hathi_fulltext						njp.32101018263028	1896
25677	00025677.txt	370.0	Society of the mind	Harry	Eric L	A_04418		New York	Harper & Bros.	1996	k	American		c			25677	1996
21394	00021394.txt	587.0	In the ocean of night	Benford	Gregory	A_00250		New York	Dial Press/James Wade	1977	k	American		c			21394	1977
uc2.ark+=13960=t2g73gm41	uc2.ark+=13960=t2g73gm41.txt		Defender of the faith	Mathew	['Frank', 'James']					1899	hathi_fulltext						uc2.ark+=13960=t2g73gm41	1899
