doi	journal	year	authors	title	language	wordcount	doctype	citation_counts	S2titles	S2years	condition	matchstrength	S2journal	S2authors	new_cite_count	make_embeddings	paperId
10.2307/3713198	The Modern Language Review	1912	['H. V. Routh']	Review Article	['eng']	2086	article | book-review	19	The Works Of Thomas Deloney		not citable	0.0			19	1	f66ab73d87d74a3bbed81688987e8b1182c7f248
10.2307/3714142	The Modern Language Review	1917	['Oliver Elton']	Review Article	['eng']	3866	article | book-review	0	The Cambridge History of English Literature. Vol. XII	1917-04-01	not citable	0.0			0	1	38d1b520aee4a3516ce7e0e98b1e8bf2452c2286
10.2307/432795	Modern Philology	1913	['Thomas Edward Oliver']	"Notes on the ""Bourgeois Gentilhomme"""	['eng']	2050	article | research-article	0	"Notes on the ""Bourgeois Gentilhomme"""	1913	found	1.12	Modern Philology	T. Oliver	0	1	c6ae929beabe2e0ed2717cef281a8243d4c09999
10.2307/3714234	The Modern Language Review	1918	['Percy Simpson']	"Horatio and the Ghost in ""Hamlet."" A Side-Note on the Current Controversy"	['eng']	760	article | research-article	1	"Horatio and the Ghost in ""Hamlet."" A Side-Note on the Current Controversy"	1918-07-01	already found	0.0			1	1	94259d176377c7ec5769801d651508a77f1f092c
10.2307/3713527	The Modern Language Review	1916	['F. S. Boas']	Recently Recovered Manuscripts at St John's College, Oxford	['eng']	1571	article | research-article	1	Recently Recovered Manuscripts at St John's College, Oxford	1916-07-01	already found	0.0			1	1	58aa341150a2b75b62f4c0906b3145e82661acee
10.2307/456658	PMLA	1912	['Wm. Gardner Hale']	The Harmonizing of Grammatical Nomenclature, with Especial Reference to Mood-Syntax: Concluding Article	['eng']	13519	article | research-article	0	The Harmonizing of Grammatical Nomenclature, with Especial Reference to Mood–Syntax: Concluding Article	no date	found	1.03	PMLA/Publications of the Modern Language Association of America	Wm. Gardner Hale	0	1	24eca9d680b7e8e13884d1d46154f729b1e281e0
10.2307/3712993	The Modern Language Review	1916	['John T. Mitchell']	Review Article	['eng']	919	article | book-review	0	The Paradise of Dante Alighieri, an Experiment in Literal Verse	1916-04-01	not citable	0.0			0	1	96ab88178a8a8b5950456db68e4a053e7fa98cce
10.2307/3713580	The Modern Language Review	1916	['T. K. Whipple']	Isocrates and Euphuism	['eng']	6064	article | research-article	1	Isocrates and Euphuism		already found	0.0			1	1	bf3bedcea41878c05e26de2bbe640dfc5f648ccd
10.2307/3714109	The Modern Language Review	1917	['G. G. Coulton']	Review Article	['eng']	1095	article | book-review	1	The last months of Chaucer's earliest patron	1917-07-01	not citable	0.0			1	1	0aa375e8c2be5391f3d0c0214087f53d1f438655
10.2307/3713392	The Modern Language Review	1911	['Julius Freund']	Eine ältere Fassung der Petrarcaode von Carl Friedrich Cramer	['ger']	2475	article | research-article	0	Eine altere Fassung der Petrarcaode von Carl Friedrich Cramer	1911	found	0.98	Modern Language Review	J. Freund	0	1	62a38bb240c58f0d151a147138f3842b90e24038
10.2307/3713121	The Modern Language Review	1913	['G. C. Macaulay']	Review Article	['eng']	2595	article | book-review	0	The Cambridge History of English Literature. Vol. VIII. The Age of Dryden	1913-04-01	not citable	0.0			0	1	f8d4d832d22c7a43837f6ff24570b7ffb6aa0763
10.2307/3712725	The Modern Language Review	1911	['T. M. Parrott']	Review Article	['eng']	5039	article | book-review	4	Satiro-Mastix, or the Vntrussing of the Humorous Poet	2017-10-26	not citable	0.0			4	1	4428ba05197de0c0a879cf4c6dcad7139f970215
10.2307/456976	PMLA	1915	['Harry Morgan Ayres']	Cæsar's Revenge	['eng']	4695	article | research-article	2	Caesar's Revenge		already found	0.0			2	1	ee4819b33e772127d04aed311376b0bc4140793b
10.2307/3714245	The Modern Language Review	1918	['Paget Toynbee']	Review Article	['eng']	1591	article | book-review	3	A Bibliography Of Thomas Gray		not citable	0.0			3	1	ae74518daf15e9b5b4720fb8426426a4fb501765
10.2307/3713388	The Modern Language Review	1911	['Arthur S. Napier']	"The Old English ""Exodus,"" II. 63-134"	['eng']	1106	article | research-article	0	"The Old English ""Exodus,"" II. 63-134"	1911	found	1.0	no journal listed	A. S. Napier	0	1	ca227e4d68e3d972fb76c7b74aff405620c15296
10.2307/456953	PMLA	1916	['Murray Gardner Hill']	Some of Longfellow's Sources for the Second Part of Evangeline	['eng']	6755	article | research-article	0	Some of Longfellow's Sources for the Second Part of Evangeline	no date	found	1.03	PMLA/Publications of the Modern Language Association of America	M. Hill	0	1	9e7ea5a5867c5751c1bdbe35830192cbb9b12b27
10.2307/3712997	The Modern Language Review	1914	['W. H. Williams']	"""Palamon and Arcite"" and the ""Knightes Tale"""	['eng']	4361	article | research-article	0	"""Palamon and Arcite"" and the ""Knightes Tale"""	1914	found	1.0	Modern Language Review	W. H. Williams	0	1	7006e3628742a269c84ea3056a09cb4b6774fb35
10.2307/432770	Modern Philology	1913	['Frank W. Cady']	The Passion Group in Towneley	['eng']	5881	article | research-article	0	The Passion Group in Towneley	1913	found	1.12	Modern Philology	F. W. Cady	0	1	06da169e725ae72d7ef0606687a6f0dc83d7a0df
10.2307/3712972	The Modern Language Review	1916	['Arthur Tilley']	"""Préciosité"" after ""Les Précieuses Ridicules."" II"	['eng']	4353	article | research-article	1	"""Preciosite"" after ""Les Precieuses Ridicules."" III."		already found	0.0			1	1	f0ddb1a54106b4f4121b5016c15799bf4a68bace
